doc_id,corpus,author,segment_id,marker_category,count,word_count,prevalence
1160_KennedyIchbin.pdf,non_longitudinal,NA,1,harm_justification,5,691,7.23589001447178
1160_KennedyIchbin.pdf,non_longitudinal,NA,1,violent_identification,0,691,0
142Thunberg.pdf,non_longitudinal,NA,1,harm_justification,6,742,8.086253369272237
142Thunberg.pdf,non_longitudinal,NA,1,violent_identification,0,742,0
1945 Labour Party Manifesto -.pdf,non_longitudinal,NA,1,harm_justification,14,5127,2.730641700799688
1945 Labour Party Manifesto -.pdf,non_longitudinal,NA,1,violent_identification,2,5127,0.3900916715428126
1949_simone-de-beauvoir-the-second-sex.pdf,non_longitudinal,NA,1,harm_justification,469,350086,1.3396708237404524
1949_simone-de-beauvoir-the-second-sex.pdf,non_longitudinal,NA,1,violent_identification,203,350086,0.5798575207234793
A Contribution to the History of the National Programme in Austria and in Russia_2.5.1914,longitudinal,lenin,1,harm_justification,3,770,3.896103896103896
A Contribution to the History of the National Programme in Austria and in Russia_2.5.1914,longitudinal,lenin,1,violent_identification,0,770,0
A Disgraceful Resolution_10.18.1912,longitudinal,lenin,1,harm_justification,2,325,6.153846153846154
A Disgraceful Resolution_10.18.1912,longitudinal,lenin,1,violent_identification,1,325,3.076923076923077
"A House of Many Mansions, 1940",longitudinal,churchill,1,harm_justification,2,1780,1.1235955056179776
"A House of Many Mansions, 1940",longitudinal,churchill,1,violent_identification,2,1780,1.1235955056179776
"A Hush Over Europe, 1939",longitudinal,churchill,1,harm_justification,6,1210,4.958677685950414
"A Hush Over Europe, 1939",longitudinal,churchill,1,violent_identification,1,1210,0.8264462809917356
A New Chapter of World History_10.21.1912,longitudinal,lenin,1,harm_justification,3,343,8.746355685131196
A New Chapter of World History_10.21.1912,longitudinal,lenin,1,violent_identification,0,343,0
"Address to Joint Session of US Congress, 1941",longitudinal,churchill,1,harm_justification,7,3252,2.152521525215252
"Address to Joint Session of US Congress, 1941",longitudinal,churchill,1,violent_identification,0,3252,0
Against Pessimism_4.15.1924,longitudinal,gramsci,1,harm_justification,5,1943,2.573340195573855
Against Pessimism_4.15.1924,longitudinal,gramsci,1,violent_identification,0,1943,0
Against Pessimism_4.15.1924,non_longitudinal,NA,1,harm_justification,5,1943,2.573340195573855
Against Pessimism_4.15.1924,non_longitudinal,NA,1,violent_identification,0,1943,0
Atlantic-Charter.pdf,non_longitudinal,NA,1,harm_justification,3,1036,2.8957528957528957
Atlantic-Charter.pdf,non_longitudinal,NA,1,violent_identification,0,1036,0
"Be Ye Men of Valour, 1940",longitudinal,churchill,1,harm_justification,3,1394,2.152080344332855
"Be Ye Men of Valour, 1940",longitudinal,churchill,1,violent_identification,1,1394,0.7173601147776184
Bill on the Equality of Nations and the Safeguarding of the Rights of National Minorities_5.6.1914,longitudinal,lenin,1,harm_justification,0,642,0
Bill on the Equality of Nations and the Safeguarding of the Rights of National Minorities_5.6.1914,longitudinal,lenin,1,violent_identification,0,642,0
"Blood, Toil, Tears and Sweat, 1940",longitudinal,churchill,1,harm_justification,2,731,2.7359781121751023
"Blood, Toil, Tears and Sweat, 1940",longitudinal,churchill,1,violent_identification,0,731,0
"Bolshevism and Imperial Sedition, 1920",longitudinal,churchill,1,harm_justification,7,1521,4.602235371466141
"Bolshevism and Imperial Sedition, 1920",longitudinal,churchill,1,violent_identification,0,1521,0
Cadets and Nationalists_10.24.1912,longitudinal,lenin,1,harm_justification,2,328,6.097560975609756
Cadets and Nationalists_10.24.1912,longitudinal,lenin,1,violent_identification,0,328,0
Cadets on the Question of the Ukraine_7.16.1913,longitudinal,lenin,1,harm_justification,8,485,16.494845360824744
Cadets on the Question of the Ukraine_7.16.1913,longitudinal,lenin,1,violent_identification,0,485,0
Clarity Has Been Achieved_6.5.1914,longitudinal,lenin,1,harm_justification,34,1582,21.491782553729454
Clarity Has Been Achieved_6.5.1914,longitudinal,lenin,1,violent_identification,1,1582,0.6321112515802781
Class War in Dublin_8.29.1913,longitudinal,lenin,1,harm_justification,5,1432,3.4916201117318435
Class War in Dublin_8.29.1913,longitudinal,lenin,1,violent_identification,0,1432,0
Communist Manifesto.pdf,non_longitudinal,NA,1,harm_justification,162,38554,4.201898635679825
Communist Manifesto.pdf,non_longitudinal,NA,1,violent_identification,18,38554,0.4668776261866473
Concerning Certain Speeches by Workers’ Deputies_11.1912,longitudinal,lenin,1,harm_justification,21,1576,13.3248730964467
Concerning Certain Speeches by Workers’ Deputies_11.1912,longitudinal,lenin,1,violent_identification,0,1576,0
Concerning the Workers’ Deputies to the Duma and Their Declaration_11.1912,longitudinal,lenin,1,harm_justification,27,1298,20.801232665639446
Concerning the Workers’ Deputies to the Duma and Their Declaration_11.1912,longitudinal,lenin,1,violent_identification,1,1298,0.7704160246533128
Corrupting the Workers with Refined Nationalism_5.10.1914,longitudinal,lenin,1,harm_justification,1,930,1.075268817204301
Corrupting the Workers with Refined Nationalism_5.10.1914,longitudinal,lenin,1,violent_identification,0,930,0
DefeatingEurabia1.pdf,non_longitudinal,NA,1,harm_justification,706,134974,5.2306370115725995
DefeatingEurabia1.pdf,non_longitudinal,NA,1,violent_identification,82,134974,0.6075244121089988
"Do Your Worst; We'll Do Our Best, 1941",longitudinal,churchill,1,harm_justification,1,1236,0.8090614886731392
"Do Your Worst; We'll Do Our Best, 1941",longitudinal,churchill,1,violent_identification,1,1236,0.8090614886731392
Does the Jewish Proletariat Need an “Independent Political Party”__2.15.1903,longitudinal,lenin,1,harm_justification,17,1829,9.294696555494806
