doc_id,corpus,author,segment_id,marker,marker_group,marker_category,count,word_count,prevalence
1160_KennedyIchbin.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,691,0
142Thunberg.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,742,0
1945 Labour Party Manifesto -.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,5127,0
1949_simone-de-beauvoir-the-second-sex.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,3,350086,0.008569322966356837
anders_breivik_-_2083_manifesto_-_2011.pdf_book_one,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,4,147388,0.027139251499443646
Atlantic-Charter.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1036,0
brenton-tarrant-the-great-replacement-manifesto.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,9,16984,0.5299105040037683
cho_manifesto_1.1.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,2184,0
Communist Manifesto.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,38554,0
DefeatingEurabia1.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,5,134974,0.0370441714700609
Earnest-Manifesto-042719.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,4429,0
"Four Freedoms Speech, Franklin Delano Roosevelt (1).pdf",non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,3386,0
Full_text_I_Have_a_Dream_.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1694,0
Against Pessimism_4.15.1924,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1943,0
character_3.3.1917,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,582,0
chronicles of the new order_9.13.1919,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,507,0
For an ideological preparation of the masses_3-4.1925,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,3333,0
Lessons_5.5.1922,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,930,0
Maximalism and Extremism_7.2.1925,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,436,0
Men of Flesh and Blood_5.8.1921,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,612,0
men or machines_12.24.1916,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1155,0
Neither Fascism nor Liberalism_ Sovietism!_10.7.1924,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1156,0
Newspapers and the workers_12.22.1916,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,706,0
On the Operations of the Central Committee of the Party_12.20.1925,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1164,0
one year of history_3.16.1918,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,917,0
red ink_4.4.1919,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,630,0
revolutionaries and elections_11.15.1919,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,953,0
Speech to the Italian parliament_5.16.1925,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,3493,0
split or disorder_12.11-18.1920,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,931,0
Sterile and Negative Criticism_9.30.1925,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1056,0
The Agrarian Struggle in Italy_8.31.1921,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,836,0
the ape people_1.2.1921,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,991,0
