doc_id,corpus,author,any_role_model_glorification,n_glorification_segments,total_violent_reference_count,total_role_model_status_count
1160_KennedyIchbin.pdf,non_longitudinal,NA,FALSE,0,0,0
142Thunberg.pdf,non_longitudinal,NA,FALSE,0,0,0
1945 Labour Party Manifesto -.pdf,non_longitudinal,NA,FALSE,0,0,2
1949_simone-de-beauvoir-the-second-sex.pdf,non_longitudinal,NA,TRUE,1,2,201
A Contribution to the History of the National Programme in Austria and in Russia_2.5.1914,longitudinal,lenin,FALSE,0,0,0
A Disgraceful Resolution_10.18.1912,longitudinal,lenin,FALSE,0,0,1
"A House of Many Mansions, 1940",longitudinal,churchill,FALSE,0,2,0
"A Hush Over Europe, 1939",longitudinal,churchill,FALSE,0,1,0
A New Chapter of World History_10.21.1912,longitudinal,lenin,FALSE,0,0,0
"Address to Joint Session of US Congress, 1941",longitudinal,churchill,FALSE,0,0,0
Against Pessimism_4.15.1924,longitudinal,gramsci,FALSE,0,0,0
Against Pessimism_4.15.1924,non_longitudinal,NA,FALSE,0,0,0
Atlantic-Charter.pdf,non_longitudinal,NA,FALSE,0,0,0
"Be Ye Men of Valour, 1940",longitudinal,churchill,FALSE,0,0,1
Bill on the Equality of Nations and the Safeguarding of the Rights of National Minorities_5.6.1914,longitudinal,lenin,FALSE,0,0,0
"Blood, Toil, Tears and Sweat, 1940",longitudinal,churchill,FALSE,0,0,0
"Bolshevism and Imperial Sedition, 1920",longitudinal,churchill,FALSE,0,0,0
Cadets and Nationalists_10.24.1912,longitudinal,lenin,FALSE,0,0,0
Cadets on the Question of the Ukraine_7.16.1913,longitudinal,lenin,FALSE,0,0,0
Clarity Has Been Achieved_6.5.1914,longitudinal,lenin,FALSE,0,0,1
Class War in Dublin_8.29.1913,longitudinal,lenin,FALSE,0,0,0
Communist Manifesto.pdf,non_longitudinal,NA,TRUE,1,1,17
Concerning Certain Speeches by Workers’ Deputies_11.1912,longitudinal,lenin,FALSE,0,0,0
Concerning the Workers’ Deputies to the Duma and Their Declaration_11.1912,longitudinal,lenin,FALSE,0,0,1
Corrupting the Workers with Refined Nationalism_5.10.1914,longitudinal,lenin,FALSE,0,0,0
DefeatingEurabia1.pdf,non_longitudinal,NA,TRUE,1,7,75
"Do Your Worst; We'll Do Our Best, 1941",longitudinal,churchill,FALSE,0,1,0
Does the Jewish Proletariat Need an “Independent Political Party”__2.15.1903,longitudinal,lenin,FALSE,0,0,0
Draft Platform for the Fourth Congress of Social-Democrats of the Latvian Area_6.25.1913,longitudinal,lenin,FALSE,0,0,4
Draft Theses on National and Colonial Questions_6.5.1920,longitudinal,lenin,FALSE,0,0,2
Earnest-Manifesto-042719.pdf,non_longitudinal,NA,TRUE,1,11,3
Editorial Comment on Veteran’s Article_ “The National Question and the Lettish Proletariat”_2.1914,longitudinal,lenin,FALSE,0,0,0
"Every Man to His Post, 1940",longitudinal,churchill,TRUE,1,2,1
"Fifty Years Hence, 1931",longitudinal,churchill,FALSE,0,0,0
Finland and Russia_5.15.1917,longitudinal,lenin,FALSE,0,0,1
For an ideological preparation of the masses_3-4.1925,longitudinal,gramsci,FALSE,0,0,1
For an ideological preparation of the masses_3-4.1925,non_longitudinal,NA,FALSE,0,0,1
"Four Freedoms Speech, Franklin Delano Roosevelt (1).pdf",non_longitudinal,NA,FALSE,0,0,3
