doc_id,category,author_id,time_index,is_longitudinal
1160_KennedyIchbin,moderate,,,
142Thunberg,moderate,,,
1945 Labour Party Manifesto -,moderate,,,
1949_simone-de-beauvoir-the-second-sex,moderate,,,
Atlantic-Charter,moderate,,,
Communist Manifesto,extreme,,,
DefeatingEurabia1,extreme,,,
Earnest-Manifesto-042719,violent,,,
"Four Freedoms Speech, Franklin Delano Roosevelt (1)",moderate,,,
Full_text_I_Have_a_Dream_,moderate,,,
Hitler_Adolf_-_Mein_Kampf,violent,,,
Imperium - Yockey,extreme,,,
"Maududi, Sayyid Abul A'la - Al Jihad Fil Islam by Syed Abul Aala Maududi",extreme,,,
"Pierce, William L. - FREE SPEECH ESSAYS 1995-2002",extreme,,,
PortHuronStatement,extreme,,,
Revolt Against The Modern World - Julius Evola,extreme,,,
"Russian Imperial Manifesto, Announcing the Start of War in August 1914",moderate,,,
anders_breivik_-_2083_manifesto_-_2011,violent,,,
brenton-tarrant-the-great-replacement-manifesto,violent,,,
cho_manifesto_1.1,violent,,,
milestones-f1,violent,,,
patrick_crusius_-_the_inconvenient_truth_about_me,violent,,,
rodger_manifesto,violent,,,
roofmanifesto,violent,,,
ted-kaczynski-industrial-society-and-its-future-copy-sent-to-the-post,extreme,,,
the state and revolution - lenin,extreme,,,
the urban guerilla concept,extreme,,,
the-lawful-and-the-prohibited-in-islam_text,extreme,,,
universal declaration of human rights,moderate,,,
velayat_faqeeh - Khomeini,extreme,,,
what is to be done - lenin,extreme,,,
LPM_1900.txt,moderate,lpm,1,TRUE
LPM_1906.txt,moderate,lpm,2,TRUE
LPM_1910.12.txt,moderate,lpm,3,TRUE
LPM_1910.txt,moderate,lpm,4,TRUE
LPM_1918.txt,moderate,lpm,5,TRUE
LPM_1923.txt,moderate,lpm,6,TRUE
LPM_1924.txt,moderate,lpm,7,TRUE
LPM_1929.txt,moderate,lpm,8,TRUE
LPM_1931.txt,moderate,lpm,9,TRUE
LPM_1935.txt,moderate,lpm,10,TRUE
LPM_1945.txt,moderate,lpm,11,TRUE
LPM_1950.txt,moderate,lpm,12,TRUE
LPM_1951.txt,moderate,lpm,13,TRUE
LPM_1955.txt,moderate,lpm,14,TRUE
LPM_1959.txt,moderate,lpm,15,TRUE
LPM_1964.txt,moderate,lpm,16,TRUE
LPM_1966.txt,moderate,lpm,17,TRUE
LPM_1970.txt,moderate,lpm,18,TRUE
LPM_1974.10.txt,moderate,lpm,19,TRUE
LPM_1974.txt,moderate,lpm,20,TRUE
LPM_1979.txt,moderate,lpm,21,TRUE
LPM_1983.txt,moderate,lpm,22,TRUE
LPM_1987.txt,moderate,lpm,23,TRUE
LPM_1992.txt,moderate,lpm,24,TRUE
LPM_1997.txt,moderate,lpm,25,TRUE
LPM_2001.txt,moderate,lpm,26,TRUE
"A House of Many Mansions, 1940.txt",moderate,churchill,9,
"A Hush Over Europe, 1939.txt",moderate,churchill,7,
"Address to Joint Session of US Congress, 1941.txt",moderate,churchill,24,
"Be Ye Men of Valour, 1940.txt",moderate,churchill,11,
"Blood, Toil, Tears and Sweat, 1940.txt",moderate,churchill,10,
"Bolshevism and Imperial Sedition, 1920.txt",moderate,churchill,1,
"Do Your Worst; We'll Do Our Best, 1941.txt",moderate,churchill,22,
"Every Man to His Post, 1940.txt",moderate,churchill,16,
"Fifty Years Hence, 1931.txt",moderate,churchill,3,
"Give Us the Tools, 1941.txt",moderate,churchill,20,
"I Have Watched This Famous Island..., 1938.txt",moderate,churchill,5,
"Mass Effects in Modern Life, 1925.txt",moderate,churchill,2,
"MIT Mid-Century Convocation, 1949.txt",moderate,churchill,27,
"Never Give In, Never, Never, Never, 1941.txt",moderate,churchill,23,
"Penny-in-the-Slot Politics, 1934.txt",moderate,churchill,4,
"Some Chicken; Some Neck, 1941.txt",moderate,churchill,18,
"The Council of Europe, 1949.txt",moderate,churchill,28,
"The Few, 1940.txt",moderate,churchill,15,
The Fourth Climacteric. 1941.txt,moderate,churchill,21,
"The Invasion of France, 1944.txt",moderate,churchill,25,
"The Lights are Going Out (We Must Arm), 1938.txt",moderate,churchill,6,
"The Old Lion, 1941.txt",moderate,churchill,19,
"The Sinews of Peace, 1946.txt",moderate,churchill,26,
"Their Finest Hour, 1940.txt",moderate,churchill,13,
"War of the Unknown Warriors, 1940.txt",moderate,churchill,14,
"War Speech, 1939.txt",moderate,churchill,8,
"We Shall Fight on the Beaches, 1940.txt",moderate,churchill,12,
"Winston Churchill's Broadcast on the Soviet-German War, 1941.txt",moderate,churchill,17,
american_civilization.1945.txt,extreme,evola,7,
dark_age.1934.txt,extreme,evola,3,
decadence.1928.txt,extreme,evola,1,
degeneration.1938.txt,extreme,evola,5,
fascism.1928.txt,extreme,evola,2,
jihad.1934.txt,extreme,evola,4,
neo-pagans.1942.txt,extreme,evola,6,
occult.1953.txt,extreme,evola,8,
Against Pessimism_4.15.1924.txt,extreme,gramsci,34,
character_3.3.1917.txt,extreme,gramsci,3,
chronicles of the new order_9.13.1919.txt,extreme,gramsci,12,
For an ideological preparation of the masses_3-4.1925.txt,extreme,gramsci,36,
Lessons_5.5.1922.txt,extreme,gramsci,32,
Maximalism and Extremism_7.2.1925.txt,extreme,gramsci,38,
Men of Flesh and Blood_5.8.1921.txt,extreme,gramsci,25,
men or machines_12.24.1916.txt,extreme,gramsci,2,
Neither Fascism nor Liberalism_ Sovietism!_10.7.1924.txt,extreme,gramsci,35,
Newspapers and the workers_12.22.1916.txt,extreme,gramsci,1,
On the Operations of the Central Committee of the Party_12.20.1925.txt,extreme,gramsci,40,
one year of history_3.16.1918.txt,extreme,gramsci,5,
red ink_4.4.1919.txt,extreme,gramsci,6,
revolutionaries and elections_11.15.1919.txt,extreme,gramsci,16,
Speech to the Italian parliament_5.16.1925.txt,extreme,gramsci,37,
split or disorder_12.11-18.1920.txt,extreme,gramsci,20,
Sterile and Negative Criticism_9.30.1925.txt,extreme,gramsci,39,
The Agrarian Struggle in Italy_8.31.1921.txt,extreme,gramsci,28,
the ape people_1.2.1921.txt,extreme,gramsci,21,
The Arditi del Popolo_7.15.1921.txt,extreme,gramsci,26,
The Communists and the Elections_4.12.1921.txt,extreme,gramsci,24,
the conquest of the state_7.12.1919.txt,extreme,gramsci,9,
the development of the revolution_9.13.1919.txt,extreme,gramsci,11,
The events of 2-3 December (1919)_12.6-13.19.txt,extreme,gramsci,18,
The Genoa Conference and Italy (19 April 1922)_4.19.1922.txt,extreme,gramsci,31,
The grimace of Gwynplaine_8.30.1921.txt,extreme,gramsci,28,
The parties and the Masses_9.25.1921.txt,extreme,gramsci,30,
the price of history_6.7.1919.txt,extreme,gramsci,7,
the problem of power_11.29.1919.txt,extreme,gramsci,17,
The Revolution against ‘Capital’_12.24.1917.txt,extreme,gramsci,4,
The tactic of failure_9.22.1921.txt,extreme,gramsci,29,
The Turin factory council movement_3.14.1921.txt,extreme,gramsci,23,
The two fascisms_8.25.1921.txt,extreme,gramsci,27,
The Vatican_3.12.1924.txt,extreme,gramsci,33,
To the section commissars of the FIAT-Brevetti workshops_9.13.1919.txt,extreme,gramsci,13,
unions and councils_10.11.1919.txt,extreme,gramsci,14,
unions and the dictatorship_10.25.1919.txt,extreme,gramsci,15,
war is war_1.31.1921.txt,extreme,gramsci,22,
workers and peasants_1.3.1920.txt,extreme,gramsci,19,
workers and peasants_8.2.1919.txt,extreme,gramsci,10,
workers' democracy_6.21.1919.txt,extreme,gramsci,8,
Harris_4.3.1999.txt,violent,harris,1,
Harris_4.10.1998.txt,violent,harris,2,
Harris_4.12.1998.txt,violent,harris,3,
Harris_4.21.1998.txt,violent,harris,4,
Harris_5.6.1998.txt,violent,harris,5,
Harris_5.9.1998.txt,violent,harris,6,
Harris_5.20.1998.txt,violent,harris,7,
Harris_6.12.1998.txt,violent,harris,8,
Harris_6.13.1998.txt,violent,harris,9,
Harris_7.29.1998.txt,violent,harris,10,
Harris_10.23.1998.txt,violent,harris,11,
Harris_11.1.1998.txt,violent,harris,12,
Harris_11.8.1998.txt,violent,harris,13,
Harris_11.12.1998.txt,violent,harris,14,
Harris_11.17.1998.txt,violent,harris,15,
Harris_11.22.1998.txt,violent,harris,16,
Harris_12.3.1998.txt,violent,harris,17,
Harris_12.17.1998.txt,violent,harris,18,
Harris_12.20.1998.txt,violent,harris,19,
Harris_12.29.1998.txt,violent,harris,20,
“Cultural-National” Autonomy_11.28.1913.txt,extreme,lenin,30,
“Disgrace” as the Capitalists and the Proletarians Understand It_5.5.1917.txt,extreme,lenin,57,
A Contribution to the History of the National Programme in Austria and in Russia_2.5.1914.txt,extreme,lenin,39,
A Disgraceful Resolution_10.18.1912.txt,extreme,lenin,11,
A New Chapter of World History_10.21.1912.txt,extreme,lenin,12,
Bill on the Equality of Nations and the Safeguarding of the Rights of National Minorities_5.6.1914.txt,extreme,lenin,46,
Cadets and Nationalists_10.24.1912.txt,extreme,lenin,13,
Cadets on the Question of the Ukraine_7.16.1913.txt,extreme,lenin,24,
Clarity Has Been Achieved_6.5.1914.txt,extreme,lenin,48,
Class War in Dublin_8.29.1913.txt,extreme,lenin,26,
Concerning Certain Speeches by Workers’ Deputies_11.1912.txt,extreme,lenin,15,
Concerning the Workers’ Deputies to the Duma and Their Declaration_11.1912.txt,extreme,lenin,16,
Corrupting the Workers with Refined Nationalism_5.10.1914.txt,extreme,lenin,47,
Does the Jewish Proletariat Need an “Independent Political Party”__2.15.1903.txt,extreme,lenin,3,
Draft Platform for the Fourth Congress of Social-Democrats of the Latvian Area_6.25.1913.txt,extreme,lenin,22,
Draft Theses on National and Colonial Questions_6.5.1920.txt,extreme,lenin,65,
Editorial Comment on Veteran’s Article_ “The National Question and the Lettish Proletariat”_2.1914.txt,extreme,lenin,38,
Finland and Russia_5.15.1917.txt,extreme,lenin,58,
How Does Bishop Nikon Defend the Ukrainians__9.13.1913.txt,extreme,lenin,28,
Is a Compulsory Official Language Needed__1.18.1914.txt,extreme,lenin,37,
"It Is Undemocratic, Citizen Kerensky!_6.15.1917.txt",extreme,lenin,59,
